기준연도,월,총출생,출생_남자,출생_여자,총사망,사망_남자,사망_여자,혼인,이혼
2019,1,288,144,144,171,80,91,177,85
2019,2,194,100,94,171,97,74,199,66
2019,3,255,124,131,182,93,89,182,105
2019,4,270,140,130,166,95,71,184,82
2019,5,240,137,103,188,102,86,213,76
2019,6,221,105,116,154,83,71,143,90
2019,7,231,107,124,144,75,69,169,67
2019,8,213,106,107,153,76,77,174,80
2019,9,243,131,112,142,79,63,141,76
2019,10,225,111,114,174,94,80,206,98
2019,11,222,107,115,184,83,101,209,76
2019,12,143,86,57,184,95,89,167,103
2020,1,247,126,121,188,107,81,198,79
2020,2,218,109,109,172,98,74,172,52
2020,3,246,129,117,181,94,87,177,80
2020,4,217,116,101,177,102,75,138,77
2020,5,227,124,103,176,92,84,181,101
2020,6,201,112,89,160,82,78,167,80
2020,7,180,95,85,179,101,78,162,100
2020,8,224,119,105,180,99,81,145,64
2020,9,234,125,109,188,98,90,184,102
2020,10,197,101,96,194,105,89,184,78
2020,11,209,110,99,163,81,82,162,55
2020,12,180,92,88,173,92,81,189,81
2022,1,179,89,90,208,97,111,148,167
2022,2,186,91,95,176,96,80,183,145
2022,3,196,101,95,258,124,134,154,234
2022,4,163,91,72,279,155,124,186,141
2022,5,184,90,94,217,111,106,165,183
2022,6,162,79,83,180,108,72,138,150
2022,7,184,83,101,203,114,89,160,215
2022,8,238,129,109,214,120,94,166,181
2022,9,258,133,125,238,123,115,145,229
2022,10,241,130,111,200,113,87,176,188
2022,11,201,102,99,242,120,122,199,237
2022,12,200,111,89,255,128,127,201,189
2023,1,226,113,113,262,138,124,185,167
2023,2,210,116,94,210,100,110,197,167
2023,3,206,94,112,220,121,99,196,129
2023,4,192,102,90,201,100,101,133,182
2023,5,213,104,109,182,94,88,147,177
2023,6,216,108,108,180,97,83,173,183
2023,7,189,99,90,193,89,104,140,150
2023,8,189,99,90,195,106,89,135,176
2023,9,184,107,77,179,105,74,113,148
2023,10,188,91,97,246,127,119,138,132
2023,11,161,91,70,209,96,113,165,196
2023,12,143,86,57,184,95,89,167,103